[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
14.9G 5368k  557M  158M| 96   2   2   0   0   0| 169M 4636k
14.9G 5360k  558M  163M| 95   1   4   0   0   0| 157M 6248k
14.9G 5340k  574M  154M| 92   2   6   0   0   0| 184M 6004k
14.9G 5312k  584M  150M| 93   1   6   0   0   0| 185M 5508k
14.9G 5288k  573M  168M| 98   1   0   0   0   0| 211M 7608k
14.9G 5288k  572M  175M| 92   1   6   0   0   0| 167M 5916k
14.9G 5288k  600M  150M| 99   1   0   0   0   0| 157M 3072k
14.8G 5288k  590M  164M| 92   1   6   0   0   0| 117M 4900k
14.8G 5288k  594M  164M| 99   1   0   0   0   0| 111M 3004k
14.8G 5296k  580M  179M| 94   1   6   0   0   0|  97M 4496k
14.8G 5296k  598M  164M| 99   1   0   0   0   0| 107M 2236k
14.8G 5296k  602M  162M| 96   1   3   0   0   0|  41M  596k
14.8G 5296k  601M  161M| 95   1   4   0   0   0|1696k    0 
14.8G 5296k  609M  153M| 98   0   2   0   0   0|  15M    0 
14.8G 5304k  609M  152M|100   0   0   0   0   0|  76k  120k
14.8G 5304k  609M  152M|100   0   0   0   0   0|  40k    0 
14.8G 5304k  609M  152M| 94   0   6   0   0   0| 196k    0 
14.8G 5304k  609M  152M|100   0   0   0   0   0|  76k    0 
14.8G 5304k  609M  152M|100   0   0   0   0   0|  56k    0 
14.8G 5312k  609M  152M| 95   0   5   0   0   0|  64k   44k
14.8G 5312k  609M  152M|100   0   0   0   0   0|  56k    0 
14.8G 5312k  609M  152M| 94   0   6   0   0   0| 220k    0 
14.8G 5312k  609M  152M|100   0   0   0   0   0|  68k    0 
14.8G 5312k  609M  152M|100   0   0   0   0   0| 104k    0 
14.8G 5320k  609M  152M| 93   0   7   0   0   0|  60k   12k
14.8G 5320k  609M  151M|100   0   0   0   0   0|  80k    0 
14.8G 5320k  609M  151M|100   0   0   0   0   0|  52k    0 
14.8G 5320k  609M  151M| 94   0   6   0   0   0|  68k    0 
14.8G 5320k  609M  151M|100   0   0   0   0   0|  64k    0 
14.8G 5328k  609M  151M|100   0   0   0   0   0|  48k   12k
14.8G 5328k  609M  151M| 94   0   6   0   0   0|  56k 8192B
14.8G 5328k  609M  151M|100   0   0   0   0   0| 172k    0 
14.8G 5328k  593M  167M| 94   0   6   0   0   0|  68k  708k
14.8G 5328k  593M  167M|100   0   0   0   0   0|  88k    0 
14.8G 5464k  593M  165M| 94   0   6   0   0   0|1520k   24k
14.8G 5464k  593M  165M| 94   0   6   0   0   0|  60k   16k
14.8G 5464k  604M  154M|100   0   0   0   0   0|  21M    0 
14.8G 5464k  598M  162M| 94   0   6   0   0   0|  17M  812k
14.8G 5464k  604M  157M| 93   1   6   0   0   0|  42M  488k
14.8G 5472k  612M  151M| 99   1   0   0   0   0|  80M 1384k
14.8G 5472k  603M  164M| 94   1   5   0   0   0|  88M 2004k
