[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
15.1G 6100k 91.8M  403M|  1  98   0   0   0   0|  97k    0 
15.1G 6100k 91.8M  403M|  0  90  10   0   0   0| 455k  400k
15.1G 6108k 91.8M  403M|  1  98   1   0   0   0|  21M   32k
15.1G 6108k 91.8M  403M|  1  92   7   0   0   0|  73M    0 
15.1G 6108k 91.8M  403M|  0  99   0   0   0   0| 120k    0 
15.1G 6108k 91.8M  403M|  0  92   7   0   0   0| 177k    0 
15.1G 6116k 91.8M  403M|  0  99   0   0   0   0| 144k   24k
15.1G 6124k 91.8M  403M|  1  91   8   0   0   0|  25M   32k
15.1G 6124k 91.8M  403M|  1  93   6   0   0   0|  31M  224k
15.1G 6124k 91.8M  403M|  1  99   1   0   0   0|  37M    0 
15.1G 6124k 91.8M  403M|  1  92   7   0   0   0|  28M    0 
15.1G 6124k 91.8M  403M|  0  99   1   0   0   0|  34M   80k
15.1G 6132k 91.8M  403M|  1  92   7   0   0   0|  29M  100k
15.1G 6140k 91.8M  403M|  1  98   2   0   0   0|  42M   24k
15.1G 6140k 91.8M  403M|  1  94   4   0   0   0| 119M    0 
15.1G 6140k 91.8M  403M|  1  99   0   0   0   0|  70M    0 
15.1G 6140k 91.8M  403M|  2  92   7   0   0   0|  35M  120k
15.1G 6160k 91.9M  403M|  1  91   8   0   0   0|  59M  232k
15.1G 6160k 91.9M  403M|  0  99   1   0   0   0| 132M    0 
15.1G 6160k 91.9M  403M|  0  93   7   0   0   0| 200M    0 
15.1G 6160k 91.9M  403M|  1  91   8   0   0   0| 169M    0 
15.1G 6168k 91.9M  403M|  1  98   1   0   0   0| 239M   24k
15.1G 6176k 91.9M  403M|  1  91   8   0   0   0| 182M  160k
15.1G 6176k 91.9M  403M|  2  95   4   0   0   0| 206M    0 
15.1G 6176k 91.9M  403M|  1  93   6   0   0   0| 160M    0 
15.1G 6176k 91.9M  403M|  1  90   9   0   0   0| 162M  128k
15.1G 6176k 91.9M  403M|  1  99   0   0   0   0| 184M    0 
15.1G 6184k 91.9M  403M|  0  93   7   0   0   0| 134M   32k
15.1G 6184k 91.9M  403M|  0  99   1   0   0   0|  18M    0 
15.1G 6184k 91.9M  403M|  1  99   1   0   0   0|  96k    0 
15.1G 6192k 91.9M  403M|  1  92   7   0   0   0| 190k  408k
15.1G 6192k 91.9M  403M|  1  99   1   0   0   0| 227k    0 
15.1G 6200k 91.9M  403M|  1  93   6   0   0   0| 193k   32k
15.1G 6200k 91.9M  403M|  0 100   0   0   0   0| 194k    0 
15.1G 6200k 91.9M  403M|  1  92   7   0   0   0| 538k    0 
15.1G 6200k 91.9M  403M|  0  99   1   0   0   0|  64k    0 
15.1G 6208k 91.9M  403M|  0  93   7   0   0   0|  33k   96k
15.1G 6216k 91.9M  403M|  1  99   1   0   0   0| 233k   32k
15.1G 6216k 91.9M  403M|  0  92   7   0   0   0| 104k    0 
15.1G 6216k 91.9M  403M|  1  98   1   0   0   0| 170k    0 
15.1G 6216k 91.9M  403M|  1  92   7   0   0   0| 702k    0 
15.1G 6224k 91.9M  403M|  0  99   0   0   0   0|  64k   24k
15.1G 6232k 91.9M  403M|  0  93   7   0   0   0| 152k   76k
15.1G 6232k 91.9M  403M|  0  99   0   0   0   0|7691k    0 
15.1G 6232k 91.9M  403M|  0  93   7   0   0   0|  32M    0 
15.1G 6232k 91.9M  403M|  1  98   1   0   0   0|  33M    0 
15.1G 6232k 91.9M  403M|  0  92   8   0   0   0|  30M    0 
15.1G 6240k 91.9M  403M|  1  98   1   0   0   0|  33M  188k
15.1G 6240k 91.9M  403M|  1  89  10   0   0   0|  31M    0 
15.1G 6240k 92.0M  403M|  0  93   7   0   0   0|  14M    0 
15.1G 6240k 92.0M  403M|  0  98   1   0   0   0|  51M    0 
15.1G 6240k 92.0M  403M|  0  91   9   0   0   0|  25M    0 
15.1G 6248k 92.0M  403M|  0  99   0   0   0   0|  51M  464k
15.1G 6248k 92.0M  403M|  0  92   7   0   0   0|  31M    0 
15.1G 6248k 92.0M  403M|  0  99   0   0   0   0|  33M    0 
15.1G 6248k 92.0M  403M|  1  91   9   0   0   0|  29M    0 
15.1G 6248k 92.0M  403M|  1  97   3   0   0   0|  52M    0 
15.1G 6264k 92.0M  403M|  1  95   5   0   0   0|  61M   68k
15.1G 6264k 92.0M  403M|  0  91   8   0   0   0|  89M    0 
15.1G 6264k 92.0M  403M|  1  99   1   0   0   0| 151M    0 
15.1G 6264k 92.0M  403M|  1  92   7   0   0   0| 205M    0 
15.1G 6264k 92.0M  403M|  1  92   7   0   0   0| 178M    0 
15.1G 6272k 92.0M  403M|  1  97   1   0   0   0| 207M  424k
15.1G 6272k 92.0M  403M|  1  90  10   0   0   0| 133M    0 
15.1G 6272k 92.0M  403M|  1  96   3   0   0   0| 214M    0 
15.1G 6272k 92.0M  403M|  1  94   5   0   0   0| 130M    0 
15.1G 6272k 92.0M  403M|  1  95   5   0   0   0| 146M    0 
15.1G 6280k 92.0M  403M|  1  94   5   0   0   0| 130M   32k
15.1G 6288k 92.0M  403M|  1  92   7   0   0   0| 101M  172k
15.1G 6288k 92.0M  403M|  0  99   1   0   0   0|  29M    0 
15.1G 6288k 92.0M  403M|  1  99   1   0   0   0|1249k    0 
15.1G 6288k 92.0M  403M|  0  91   8   0   0   0| 169k    0 
15.1G 6296k 92.0M  403M|  1  99   1   0   0   0| 461k   40k
15.1G 6304k 92.0M  403M|  0  97   3   0   0   0| 288k   52k
15.1G 6304k 92.0M  403M|  1  96   3   0   0   0|8769k    0 
15.1G 6304k 92.0M  403M|  0  93   6   0   0   0| 144k    0 
15.1G 6304k 92.0M  403M|  1  99   1   0   0   0| 233k    0 
15.1G 6312k 92.0M  403M|  1  92   8   0   0   0| 210k  196k
15.1G 6312k 92.0M  403M|  1  99   1   0   0   0|  72k  120k
15.1G 6312k 92.0M  403M|  1  92   7   0   0   0| 315k    0 
15.1G 6312k 92.0M  403M|  1  99   0   0   0   0| 217k    0 
15.1G 6312k 92.0M  403M|  0  93   7   0   0   0|  80k    0 
15.1G 6320k 92.0M  403M|  0  99   0   0   0   0|  21M  100k
15.1G 6332k 92.1M  403M|  1  92   7   0   0   0|  31M  356k
15.1G 6332k 92.1M  403M|  1  99   0   0   0   0|  33M    0 
15.1G 6332k 92.1M  403M|  0  93   6   0   0   0|  29M    0 
15.1G 6332k 92.1M  403M|  0  95   5   0   0   0|  29M    0 
15.1G 6340k 92.1M  403M|  1  96   4   0   0   0|  34M   76k
15.1G 6348k 92.1M  403M|  1  93   6   0   0   0|  25M  156k
15.1G 6348k 92.1M  403M|  0  98   1   0   0   0|  33M    0 
15.1G 6348k 92.1M  403M|  0  92   8   0   0   0|  42M    0 
15.1G 6348k 92.1M  403M|  1  99   1   0   0   0|  47M    0 
15.1G 6356k 92.1M  403M|  1  92   7   0   0   0|  29M   32k
15.1G 6356k 92.1M  403M|  0  97   3   0   0   0|  32M  384k
15.1G 6356k 92.1M  403M|  1  94   6   0   0   0|  38M    0 
15.1G 6356k 92.1M  403M|  1  91   8   0   0   0|  22M    0 
15.1G 6356k 92.1M  403M|  1  98   1   0   0   0|  65M    0 
15.1G 6364k 92.1M  403M|  1  92   7   0   0   0|  45M   32k
15.1G 6372k 92.1M  403M|  0  99   0   0   0   0|  72M   24k
15.1G 6372k 92.1M  403M|  1  91   8   0   0   0|  78M   88k
15.1G 6372k 92.1M  403M|  0  99   1   0   0   0|  68M    0 
15.1G 6372k 92.1M  403M|  1  93   6   0   0   0|  97M    0 
15.1G 6380k 92.1M  403M|  1  95   4   0   0   0|  83M   32k
15.1G 6380k 92.1M  403M|  1  96   3   0   0   0|  13M    0 
15.1G 6388k 92.1M  403M|  1  91   8   0   0   0| 202M   36k
15.1G 6388k 92.1M  403M|  1  92   7   0   0   0| 128M    0 
15.1G 6388k 92.1M  403M|  1  98   1   0   0   0| 227M  112k
15.1G 6396k 92.1M  403M|  1  92   7   0   0   0| 117M   44k
15.1G 6396k 92.1M  403M|  1  98   2   0   0   0| 174M    0 
15.1G 6396k 92.1M  403M|  1  90   9   0   0   0| 120M   68k
15.1G 6396k 92.1M  403M|  1  98   1   0   0   0| 137M    0 
15.1G 6404k 92.1M  403M|  1  92   7   0   0   0|  98M   24k
15.1G 6412k 92.1M  403M|  1  99   1   0   0   0|  80M  196k
15.1G 6412k 92.1M  403M|  0  93   6   0   0   0|5635k    0 
15.1G 6412k 92.1M  403M|  1  99   1   0   0   0| 705k  100k
15.1G 6412k 92.1M  403M|  1  92   7   0   0   0| 697k    0 
15.1G 6412k 92.1M  403M|  0  99   1   0   0   0|  96k    0 
15.1G 6428k 92.1M  403M|  0  93   7   0   0   0| 236k  108k
15.1G 6428k 92.1M  403M|  0  99   0   0   0   0| 144k    0 
15.1G 6428k 92.2M  403M|  2  91   7   0   0   0| 104k    0 
15.1G 6428k 92.2M  403M|  1  99   0   0   0   0| 451k    0 
15.1G 6428k 92.2M  403M|  1  93   7   0   0   0|  24M    0 
15.1G 6436k 92.2M  403M|  0 100   0   0   0   0|  37M   32k
15.1G 6436k 92.2M  403M|  0  93   6   0   0   0|  29M    0 
15.1G 6436k 92.2M  403M|  1  99   0   0   0   0|  36M  728k
15.1G 6436k 92.2M  403M|  0  92   8   0   0   0|  32M    0 
15.1G 6436k 92.2M  403M|  0  99   1   0   0   0|  37M    0 
15.1G 6444k 92.2M  403M|  1  92   7   0   0   0|  25M   32k
15.1G 6444k 92.2M  403M|  1  98   1   0   0   0|  35M    0 
15.1G 6456k 92.2M  403M|  0  93   7   0   0   0|  46M   36k
15.1G 6456k 92.2M  403M|  1  98   2   0   0   0|  33M  104k
15.1G 6456k 92.2M  403M|  0  94   6   0   0   0|  32M    0 
15.1G 6464k 92.2M  403M|  0  92   8   0   0   0|  28M   52k
15.1G 6464k 92.2M  403M|  1  99   1   0   0   0|  35M    0 
15.1G 6464k 92.2M  403M|  0  92   8   0   0   0|  23M   12k
15.1G 6472k 92.2M  403M|  1  98   1   0   0   0|  36M   24k
15.1G 6472k 92.2M  403M|  1  93   7   0   0   0|  28M    0 
15.1G 6480k 92.2M  403M|  0  93   7   0   0   0|  61M  132k
15.1G 6480k 92.2M  403M|  1  99   0   0   0   0|  61M    0 
15.1G 6480k 92.2M  403M|  0  92   8   0   0   0|  57M   44k
15.1G 6480k 92.2M  403M|  0  99   1   0   0   0|  65M    0 
15.1G 6480k 92.2M  403M|  0  93   7   0   0   0|  58M    0 
15.1G 6496k 92.2M  403M|  1  91   9   0   0   0|  55M  104k
15.1G 6496k 92.2M  403M|  1  97   2   0   0   0| 168M    0 
15.1G 6496k 92.2M  403M|  1  91   8   0   0   0| 155M 8192B
15.1G 6496k 92.2M  403M|  1  94   6   0   0   0| 179M   88k
15.1G 6496k 92.2M  403M|  1  98   1   0   0   0| 169M   96k
15.1G 6504k 92.2M  403M|  1  91   8   0   0   0|  97M  112k
15.1G 6504k 92.2M  403M|  1  98   1   0   0   0| 164M    0 
15.1G 6504k 92.2M  403M|  0  92   8   0   0   0|  95M    0 
15.1G 6504k 92.3M  403M|  1  98   1   0   0   0| 136M   48k
15.1G 6504k 92.3M  403M|  1  90   9   0   0   0| 116M    0 
15.1G 6520k 92.3M  403M|  1  99   0   0   0   0|  46M  460k
15.1G 6520k 92.3M  403M|  1  92   7   0   0   0| 145k    0 
15.1G 6520k 92.3M  403M|  1  99   1   0   0   0| 650k    0 
15.1G 6520k 92.3M  403M|  0  93   7   0   0   0| 148k    0 
15.1G 6520k 92.3M  403M|  0  99   0   0   0   0| 120k    0 
15.1G 6536k 92.3M  403M|  0  92   7   0   0   0|  88k   56k
15.1G 6536k 92.3M  403M|  0  99   0   0   0   0| 113k    0 
15.1G 6536k 92.3M  403M|  1  91   7   0   0   0|  18M    0 
15.1G 6536k 92.3M  403M|  1  99   1   0   0   0|  37M  136k
15.1G 6536k 92.3M  403M|  0  93   7   0   0   0|  28M    0 
15.1G 6544k 92.3M  403M|  0  99   1   0   0   0|  35M   32k
15.1G 6544k 92.3M  403M|  0  95   5   0   0   0|  25M    0 
15.1G 6544k 92.3M  403M|  0  95   4   0   0   0|  35M    0 
15.1G 6544k 92.3M  403M|  0  93   6   0   0   0|  28M  224k
15.1G 6544k 92.3M  403M|  1  99   0   0   0   0|  49M    0 
