[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
15.4G  324k 74.1M  138M| 60  19   8  13   0   1| 197M 4644k
15.4G  332k 65.4M  146M| 81  13   4   1   0   1| 230M 4516k
15.4G  336k 69.8M  142M| 48  15  11  25   0   1| 318M 2980k
15.4G  328k 70.0M  146M| 56  12  25   7   0   0|  90M 4444k
15.4G  328k 72.6M  146M| 92   8   0   0   0   1| 131M 1996k
15.4G  324k 70.8M  146M| 71  11  14   4   0   1| 199M 6912k
15.4G  328k 68.9M  144M| 60  13  19   7   0   1| 174M 1608k
15.4G  324k 69.1M  146M| 86  11   1   2   0   0| 150M 5924k
15.4G  324k 73.6M  139M| 38  14  15  33   0   0| 316M 4356k
15.4G  432k 70.6M  142M|  4  15  18  63   0   0| 176M  900k
15.4G  352k 71.7M  139M| 68  14   7  10   0   1| 319M 5720k
15.4G  348k 73.6M  136M| 20  14   5  61   0   0| 158M 2636k
15.4G  340k 73.3M  136M| 34  17   4  44   0   1| 348M 7812k
15.4G  332k 71.8M  141M| 71  14   3  11   0   1| 104M 1996k missed 2 ticks
15.4G  328k 72.6M  141M| 12  14  35  38   0   0| 152M 2148k
15.4G  336k 72.8M  137M| 70  13   1  15   0   0| 208M 3284k
15.4G  328k 69.5M  144M| 85  12   0   2   0   1| 123M 3060k
15.4G  328k 72.1M  140M| 70  14  11   4   0   0| 187M 6124k
15.4G  328k 71.8M  145M| 66  13  14   5   0   1| 221M 4820k
15.4G  320k 71.0M  141M| 72  15   3  10   0   1| 234M 4612k
15.4G  328k 70.1M  145M| 67  14   6  13   0   1| 112M 1648k
15.4G  328k 70.3M  138M| 52  14  17  15   0   1| 202M  836k
15.4G  344k 73.1M  142M| 85  13   0   1   0   1| 534M   10M
15.4G  344k 74.3M  138M| 35  13  10  41   0   1| 139M 2084k missed 2 ticks
15.4G  336k 68.9M  146M| 90  10   0   0   0   0|  70M 3000k
15.4G  336k 68.0M  145M| 69  11  15   5   0   0| 119M 5108k
15.4G  332k 71.7M  140M| 78  11   8   3   0   1| 166M 2380k
15.4G  336k 73.8M  139M| 83  13   0   4   0   1| 206M 5172k
15.4G  336k 71.3M  137M| 18  15  25  42   0   0| 226M 3684k
15.4G  344k 70.3M  140M| 88  12   0   0   0   0|  92M 3416k
15.4G  340k 70.9M  142M| 65  12   8  15   0   0| 218M 5784k
