[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
14.9G 1728k  501M  169M| 38   0  62   0   0   0|  40k    0 
14.9G 1736k  501M  169M| 38   0  62   0   0   0|  28k   40k
14.9G 1736k  501M  167M| 40   0  60   0   0   0|  24k    0 
14.9G 1736k  507M  166M| 37   0  62   0   0   1|  42M 5728k
14.9G 1736k  519M  165M| 39   0  60   0   0   0|  87M   11M
14.9G 1648k  528M  164M| 32   0  67   0   0   0|  50M 6436k
14.9G 1660k  528M  164M| 32   0  67   0   0   0|  44k  244k
14.9G 1660k  528M  163M| 31   0  68   0   0   0|  24k    0 
14.9G 1660k  528M  163M| 27   0  73   0   0   0| 448k    0 
14.9G 1660k  528M  163M| 18   0  82   0   0   0|  96k    0 
14.9G 1660k  528M  159M| 15   0  83   0   0   0|6764k    0 
14.9G 2472k  518M  155M|  4   2  91   3   0   0|  21M 4980k
14.8G 3288k 37.7M  771M|  1   1  97   1   0   0|  23M 1308k
14.9G 5012k 72.0M  667M|  8   1  90   1   0   0|  35M    0 
14.9G 5596k 83.1M  591M| 11   1  88   1   0   0|  14M 8192B
14.9G 6460k 95.9M  628M| 11   1  87   1   0   0|  15M   32k
15.0G 6464k  119M  515M| 13   1  86   1   0   0|  24M    0 
15.0G 6672k  233M  331M| 17   1  81   1   0   0|  96M 1344k
15.0G 6944k  376M  185M|  7   1  89   3   0   0|  69M   81M
15.1G 7132k  372M  154M| 51   4  40   4   0   1| 585M  121M
15.1G 7132k  372M  169M| 79   0  20   0   0   0|  16k    0 
15.1G 2500k  361M  185M| 70   7  22   1   0   1| 437M  530M
15.0G 1504k  429M  150M| 76  11  10   1   0   1| 843M  815M
14.9G 2048k  479M  181M| 42   8  21  28   0   1| 395M  392M
14.8G 2032k  621M  141M| 60  11  17  10   0   2| 599M  812M
14.8G 2036k  709M  132M| 40   8  23  29   0   1| 356M  517M
14.7G 2048k  746M  149M| 51   5  26  17   0   1| 306M  274M
14.7G 1764k  757M  160M| 61   9  21   7   0   1| 583M  685M
14.7G 1844k  773M  147M| 71  10  16   2   0   1| 847M  648M
14.6G 1364k  776M  201M| 69  11  17   2   0   2| 755M  710M
14.5G 1376k  900M  161M| 61   9  14  14   0   2| 577M  788M
14.5G 1152k 1012M  132M| 69  11  16   2   0   2| 692M  705M
14.4G 1300k 1084M  142M| 47   9  22  21   0   2| 527M  569M
14.3G 1468k 1149M  190M| 63  12  11  12   0   2| 651M  735M
14.2G 1488k 1281M  131M| 55   9  16  18   0   2| 474M  613M
14.1G 1512k 1319M  172M| 55   9  16  18   0   2| 594M  561M
14.0G 1552k 1420M  162M| 61  11  13  12   0   2| 606M  911M
14.0G 1556k 1453M  194M| 42   7  32  17   0   2| 377M  376M
13.8G 1712k 1477M  379M|  7   1  88   4   0   0|  34M  311M
13.8G 4684k 39.7M 1836M|  1   2  95   2   0   0|  32M   72M
13.8G 5516k 61.3M 1721M| 11   1  87   1   0   0|  22M    0 
13.8G 5796k 76.5M 1789M|  8   1  90   1   0   0|  24M   40k
13.9G 5988k 93.2M 1672M| 13   1  85   0   0   0|  17M    0 
13.9G 6416k  105M 1565M| 15   1  83   1   0   0|  13M    0 
14.0G 6604k  241M 1396M| 14   1  84   1   0   1|  96M   22M
14.0G 6616k  352M 1283M|  5   1  89   5   0   0|  51M   96M
14.0G 6788k  511M 1137M| 52   1  44   3   0   0| 321M  176k
14.0G 6788k  513M 1108M| 73   1  24   1   0   1|  29M    0 
14.0G 6788k  512M 1074M| 73   1  21   5   0   0|  34M    0 
14.1G 6796k  513M 1045M| 73   1  21   5   0   0|  30M  112k
14.1G 6796k  512M 1010M| 72   1  20   5   0   1|  34M    0 
14.1G 6796k  513M  977M| 73   1  21   5   0   0|  34M    0 
14.2G 6796k  514M  943M| 72   1  22   4   0   1|  33M    0 
14.2G 6796k  515M  912M| 73   1  22   4   0   0|  31M    0 
14.2G 6804k  515M  882M| 73   1  21   5   0   0|  31M   36k
14.2G 6804k  516M  851M| 73   1  20   5   0   1|  31M    0 
14.3G 6804k  516M  821M| 72   1  20   5   0   0|  30M    0 
14.3G 6804k  516M  790M| 73   1  22   4   0   1|  31M    0 
14.3G 6804k  516M  760M| 73   1  23   3   0   0|  30M    0 
14.4G 6812k  516M  730M| 73   1  23   3   0   0|  30M   32k
14.4G 6812k  516M  700M| 72   1  24   2   0   1|  30M    0 
14.4G 6812k  516M  669M| 72   1  21   5   0   0|  30M    0 
14.5G 6812k  517M  639M| 73   1  22   4   0   1|  30M    0 
14.5G 6812k  520M  597M| 73   1  20   5   0   1|  42M    0 
14.5G 6820k  521M  567M| 73   1  24   2   0   0|  30M   32k
14.5G 6824k  520M  537M| 73   1  25   1   0   0|  30M    0 
14.6G 6824k  520M  502M| 73   1  24   2   0   1|  36M    0 
14.6G 6824k  520M  469M| 73   1  24   2   0   0|  33M    0 
14.6G 6824k  521M  438M| 73   1  24   2   0   1|  30M    0 
14.7G 6832k  520M  410M| 73   1  23   2   0   0|  28M   32k
14.7G 6832k  520M  410M| 79   1  20   0   0   0|  12k    0 
14.7G 6832k  605M  326M| 81   2  17   0   0   0| 172M    0 
14.7G 6832k  652M  278M| 80   2  17   0   0   0|  92M    0 
14.7G 6832k  652M  279M| 82   1  16   0   0   0|  12k    0 
14.7G 6840k  652M  279M| 92   0   8   0   0   0|  20k   32k
14.7G 6856k  652M  279M| 99   0   1   0   0   0|  84k  160k
14.7G 6856k  655M  268M| 89   0  11   0   0   0|2980k    0 
14.7G 7128k  671M  252M| 90   0   9   0   0   0|  16M  152k
14.7G 7128k  671M  251M| 84   0  15   0   0   0| 520k    0 
14.7G 7136k  671M  251M| 93   0   7   0   0   0|  12k  108k
14.7G 7144k  671M  251M| 92   0   8   0   0   0|  20k  348k
14.7G 7540k  764M  157M| 99   0   1   0   0   0| 476k   34M
14.7G 7396k  766M  153M| 77   1  22   0   0   0|  24k  147M
14.7G 7412k  726M  196M| 67   2  27   4   0   0|1228k  151M
14.7G 7428k  765M  150M| 48   2  44   6   0   0|  80k  169M
14.7G 7428k  754M  160M| 56   2  36   6   0   0|  28k  164M
14.7G 7468k  754M  162M| 36   2  54   8   0   0|  44k  160M
14.7G 7140k  752M  160M| 28   2  39  30   0   0|6040k  159M
14.7G 6256k  748M  159M| 37   1  24  38   0   0|  80M   39M
14.7G 6268k  742M  166M| 48   1  25  26   0   0| 129M  288k
14.7G 5664k  758M  155M| 58   1  21  20   0   0| 159M    0 
14.7G 5692k  766M  150M| 76   2  12  10   0   0| 193M   61M
14.7G 5692k  532M  363M| 87   2  11   0   0   0| 119M    0 
14.7G 5692k  160M  722M| 88   1  11   0   0   0|  39M    0 
14.7G 5704k  160M  723M| 90   0  10   0   0   0|  28k  168k
14.7G 5704k  160M  723M| 89   0  11   0   0   0| 120k    0 
14.7G 5704k  160M  722M| 87   0  13   0   0   0|  48k    0 
14.7G 5704k  160M  727M| 71   0  28   0   0   0|  36k    0 
14.7G 5704k  160M  728M| 91   0   9   0   0   0|  16k    0 
14.7G 5712k  160M  728M| 82   0  18   0   0   0|  68k   40k
14.7G 5712k  160M  731M| 89   0  11   0   0   0| 140k    0 
14.7G 5716k  160M  731M| 96   0   4   0   0   0|1260k    0 
14.7G 5716k  160M  738M| 90   0  10   0   0   0|  44k    0 
14.7G 5716k  160M  737M| 91   0   9   0   0   0|  12k    0 
14.7G 5724k  160M  737M| 91   0   9   0   0   0|  12k   44k
14.7G 5724k  160M  737M| 91   0   9   0   0   0|  48k    0 
14.7G 5724k  160M  737M|100   0   0   0   0   0|  48k    0 
14.7G 5724k  160M  737M| 87   0  13   0   0   0|  32k    0 
14.7G 6092k  160M  736M| 94   0   6   0   0   0|1016k    0 
14.7G 6104k  160M  736M| 92   0   8   0   0   0|  20k   92k
14.7G 6104k  160M  736M| 92   0   8   0   0   0|  28k    0 
14.7G 6104k  161M  735M| 92   0   8   0   0   0| 708k    0 
14.7G 6104k  161M  735M| 91   0   8   0   0   0|  16k    0 
14.7G 6104k  161M  735M|100   0   0   0   0   0|  24k    0 
14.7G 6112k  161M  735M| 92   0   8   0   0   0|  44k   32k
14.7G 6112k  162M  735M| 92   0   8   0   0   0| 600k    0 
14.7G 6112k  162M  735M| 92   0   8   0   0   0|  32k    0 
14.7G 6112k  162M  735M| 92   0   8   0   0   0|  36k    0 
14.7G 6112k  162M  735M| 92   0   8   0   0   0|  24k    0 
14.7G 6120k  162M  735M| 92   0   8   0   0   0|  36k   32k
14.7G 6120k  162M  735M|100   0   0   0   0   0|  40k    0 
14.7G 6120k  162M  735M| 92   0   8   0   0   0|  20k    0 
14.7G 6132k  162M  735M| 92   0   8   0   0   0|  20k  400k
14.7G 6132k  162M  735M| 92   0   7   0   0   0|  32k    0 
14.7G 6132k  162M  735M| 92   0   8   0   0   0|  12k    0 
14.7G 6140k  162M  735M| 92   0   8   0   0   0|  20k  132k
14.7G 6140k  162M  735M| 92   0   8   0   0   0|  52k    0 
14.7G 6140k  162M  735M| 91   0   9   0   0   0|  28k  248k
14.7G 6140k  162M  735M|100   0   0   0   0   0|  16k    0 
14.7G 6140k  162M  735M| 92   0   8   0   0   0|  28k    0 
14.7G 6148k  162M  735M| 92   0   8   0   0   0|  16k   68k
14.7G 6148k  162M  735M| 92   0   8   0   0   0|  52k    0 
14.7G 6152k  162M  734M| 92   0   8   0   0   0|  32k   12k
14.7G 6152k  162M  734M| 92   0   8   0   0   0|  40k    0 
14.7G 6152k  162M  734M| 99   0   1   0   0   0|  12k    0 
14.7G 6160k  162M  734M| 89   0  11   0   0   0|  40k   52k
14.7G 6164k  164M  732M| 95   0   5   0   0   0|2056k    0 
14.7G 6268k  164M  732M| 91   0   8   0   0   0| 316k    0 
14.7G 6268k  164M  732M| 92   0   8   0   0   0|  52k    0 
14.7G 6268k  164M  732M| 92   0   8   0   0   0|  20k    0 
14.7G 6276k  164M  732M| 92   0   8   0   0   0|  20k   32k
14.7G 6276k  164M  732M| 92   0   8   0   0   0|  44k    0 
14.7G 6276k  164M  732M| 92   0   8   0   0   0|4096B    0 
14.7G 6276k  164M  732M| 92   0   8   0   0   0|  24k    0 
14.7G 6276k  164M  732M|100   0   0   0   0   0|  28k    0 
14.7G 6284k  164M  732M| 93   0   7   0   0   0|8192B   32k
14.7G 6284k  164M  732M| 92   0   8   0   0   0|  12k    0 
14.7G 6284k  164M  732M| 92   0   8   0   0   0|  32k    0 
14.7G 6284k  164M  732M| 92   0   8   0   0   0|  28k    0 
14.7G 6284k  164M  732M| 92   0   8   0   0   0|  16k    0 
14.7G 6292k  164M  732M| 92   0   8   0   0   0| 120k   32k
14.7G 6292k  164M  732M| 92   0   8   0   0   0|  20k    0 
14.7G 6292k  164M  732M| 91   0   8   0   0   0|  24k  148k
14.7G 6292k  164M  732M|100   0   0   0   0   0|  24k    0 
14.7G 6292k  164M  732M| 92   0   8   0   0   0|  12k    0 
14.7G 6300k  164M  732M| 92   0   8   0   0   0|  24k   64k
14.7G 6300k  164M  732M| 92   0   8   0   0   0|  20k    0 
14.7G 6300k  164M  732M| 92   0   8   0   0   0|  12k    0 
14.7G 6300k  164M  732M| 92   0   8   0   0   0|  28k   28k
14.7G 6300k  164M  732M| 92   0   8   0   0   0|  36k    0 
14.7G 6308k  164M  732M| 92   0   8   0   0   0|  12k   60k
14.7G 6308k  164M  732M| 98   0   1   0   0   0| 124k    0 
14.7G 6308k  164M  732M| 88   0  11   0   0   0|  44k    0 
14.7G 6308k  164M  732M| 92   0   8   0   0   0|  16k  104k
14.7G 6308k  164M  732M| 96   0   4   0   0   0|8192B    0 
14.7G 6316k  164M  732M| 92   0   8   0   0   0|  28k   72k
14.7G 6316k  164M  731M| 92   0   7   0   0   0|  12k    0 
14.7G 6316k  164M  731M| 92   0   8   0   0   0|  20k    0 
14.7G 6316k  164M  731M| 92   0   8   0   0   0|  28k    0 
14.7G 6316k  164M  731M| 92   0   8   0   0   0|8192B    0 
14.7G 6324k  164M  731M| 92   0   8   0   0   0|8192B   32k
14.7G 6324k  164M  731M| 92   0   8   0   0   0|  24k    0 
14.7G 6324k  164M  732M| 91   0   9   0   0   0|  20k    0 
14.7G 6324k  164M  732M| 92   0   8   0   0   0|  16k    0 
14.7G 6324k  164M  732M| 92   0   8   0   0   0|  24k    0 
14.7G 6332k  164M  731M|100   0   0   0   0   0|  20k   32k
14.7G 6332k  164M  731M| 92   0   8   0   0   0| 136k    0 
14.7G 6332k  164M  731M| 92   0   8   0   0   0|  16k    0 
14.7G 6332k  164M  731M| 92   0   8   0   0   0|  12k    0 
14.7G 6332k  164M  731M| 91   0   9   0   0   0|  16k    0 
14.7G 6340k  164M  731M| 92   0   8   0   0   0|  36k   32k
14.7G 6340k  164M  731M| 92   0   8   0   0   0|  28k    0 
14.7G 6340k  164M  731M| 92   0   8   0   0   0|  24k    0 
14.7G 6340k  164M  731M| 92   0   8   0   0   0|  76k  112k
14.7G 6340k  164M  731M| 94   0   6   0   0   0|  20k    0 
14.7G 6348k  164M  731M| 94   0   6   0   0   0|  20k   64k
14.7G 6348k  164M  731M| 94   0   5   0   0   0| 104k    0 
14.7G 6348k  164M  731M| 79   0  20   0   0   0|  20k    0 
14.7G 6348k  164M  731M| 77   0  23   0   0   0|8192B   72k
14.7G 6348k  164M  731M| 76   0  24   0   0   0|  40k    0 
14.7G 6356k  164M  731M| 67   0  33   0   0   0|  16k   88k
14.7G 6356k  164M  731M| 43   0  57   0   0   0|  16k    0 
14.7G 6356k  164M  731M| 40   0  60   0   0   0|  24k    0 
14.7G 6356k  164M  731M| 95   0   5   0   0   0|  20k   48k
14.7G 6356k  164M  731M| 96   0   4   0   0   0|  20k    0 
14.7G 6364k  184M  698M| 95   0   5   0   0   0|  32k  116k
14.7G 6364k  214M  669M| 92   0   8   0   0   0|  36k    0 
14.7G 6364k  164M  714M| 78   1  21   0   0   0| 144k    0 
14.7G 6364k  164M  712M| 91   0   9   0   0   0|  24k    0 
14.7G 6364k  164M  712M| 92   0   8   0   0   0|  12k  316k
14.7G 6372k  165M  712M| 96   0   4   0   0   0| 176k  132k
14.7G 6372k  165M  712M| 94   0   6   0   0   0|  24k    0 
14.7G 6372k  165M  712M| 91   0   8   0   0   0|8192B    0 
14.7G 6372k  165M  712M| 81   0  19   0   0   0|  12k    0 
14.7G 6372k  165M  712M| 98   0   2   0   0   0|  24k  236k
14.7G 6380k  165M  723M| 77   0  23   0   0   0|  12k   76k
14.7G 6380k  165M  723M| 74   0  25   0   0   0|  16k    0 
14.7G 6380k  165M  723M| 92   0   8   0   0   0|  36k    0 
14.7G 6380k  165M  723M|100   0   0   0   0   0|8192B    0 
14.7G 6380k  165M  723M| 91   0   8   0   0   0|  12k  188k
14.7G 6388k  165M  723M| 91   0   8   0   0   0|  28k   76k
14.7G 6388k  165M  723M| 95   0   5   0   0   0|4096B    0 
14.7G 6388k  165M  723M| 92   0   8   0   0   0| 120k    0 
14.7G 6388k  165M  723M| 81   0  18   0   0   0|  56k    0 
14.7G 6388k  165M  723M| 72   0  28   0   0   0|  60k  192k
14.7G 6396k  165M  723M|100   0   0   0   0   0|  20k   60k
14.7G 6396k  164M  722M| 92   0   8   0   0   0| 340k    0 
14.7G 6396k  165M  722M| 90   1   9   0   0   0|  20k    0 
14.7G 6396k  165M  722M| 92   0   8   0   0   0|8192B    0 
14.7G 6396k  165M  722M| 87   0  13   0   0   0|  64k    0 
14.7G 6404k  165M  722M| 92   0   8   0   0   0|8192B   40k
14.7G 6404k  165M  723M| 85   0  15   0   0   0|  96k    0 
14.7G 6404k  165M  722M| 72   1  27   0   0   0|  24k    0 
14.7G 6404k  165M  722M|100   0   0   0   0   0|  20k    0 
14.7G 6404k  165M  722M| 91   0   9   0   0   0|  16k  200k
14.7G 6412k  165M  722M| 91   0   8   0   0   0|  28k   88k
14.7G 6412k  165M  722M| 92   0   8   0   0   0|8192B    0 
14.7G 6412k  165M  722M| 95   0   5   0   0   0|  20k    0 
14.7G 6412k  165M  722M| 92   0   8   0   0   0|  52k    0 
14.7G 6412k  165M  721M| 81   0  18   0   0   0| 864k  192k
14.7G 6424k  165M  721M| 81   0  19   0   0   0|  12k  128k
14.7G 6716k  168M  717M|100   0   0   0   0   0|3712k    0 
14.7G 6716k  168M  717M| 91   0   8   0   0   0|  12k    0 
14.7G 6716k  168M  717M| 91   0   9   0   0   0|8192B    0 
14.7G 6716k  168M  717M| 91   0   8   0   0   0|  24k    0 
