application,framework,benchmark,mem_size,mem_freq,channels,cpu_freq,core_count,input_size,exe_time,IPC,L3_hit,L2_hit,C0_residency,CPU_Energy,DRAM_Energy,EDP(k),CPU_watt,DRAM_watt,BW
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.09563,0.284591,0.186248,91.6399,64.8969,2.77481,0.0675364,65.027,2.78037,12308.6
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.710995,0.29175,0.159325,99.6654,63.3195,2.4474,0.0656354,63.4464,2.45231,9461.68
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.735665,0.270414,0.149958,92.6002,61.6078,2.50721,0.0639868,61.7313,2.51224,9863.87
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.822989,0.262227,0.166109,93.0631,61.9409,2.45499,0.0642671,62.065,2.45991,9560.56
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.932517,0.23838,0.194446,92.7234,62.2706,2.3778,0.0645191,62.3954,2.38257,9225.08
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.950889,0.239169,0.197871,92.3584,62.2896,2.41992,0.0645801,62.4144,2.42477,9190.71
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.997746,0.258318,0.210816,99.5872,64.6743,2.53715,0.067077,64.8039,2.54224,9471.61
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.0739,0.216202,0.318993,84.7881,65.7784,2.7279,0.0683693,65.9102,2.73336,11725.6
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,3.05412,0.252059,0.544072,92.8237,73.1368,2.87963,0.0758644,73.2833,2.8854,12707.4
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.99817,0.221641,0.518886,92.5152,72.9193,2.87432,0.075642,73.0654,2.88008,12722.4
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.96264,0.246511,0.508451,92.8428,72.8726,2.9167,0.0756377,73.0187,2.92255,12888
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,2.80928,0.226979,0.457556,89.1504,70.7445,2.78627,0.0734572,70.8153,2.78906,12396.5
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.77363,0.0950196,0.417828,96.4951,73.9704,2.9042,0.0767208,74.1186,2.91002,12889
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.35603,0.247286,0.280942,92.4975,65.8162,2.36749,0.0680473,65.9481,2.37224,9081.22
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.13596,0.351711,0.276827,99.9994,66.8035,2.33939,0.0690046,66.9373,2.34407,8318.64
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.0042,0.316876,0.247801,92.3758,63.4225,2.19303,0.0654843,63.5496,2.19742,7810.2
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.24608,0.298921,0.285639,99.8412,67.4467,2.40518,0.0697122,67.5819,2.41,8747.83
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.20308,0.276286,0.275619,92.4321,64.9483,2.25164,0.0670655,65.0785,2.25615,8686.69
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.24911,0.281938,0.292776,99.9991,67.5009,2.29231,0.0696536,67.6362,2.2969,8745.07
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.13976,0.284048,0.267441,92.7267,64.6339,2.25568,0.0667558,64.7634,2.2602,8456.37
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.19349,0.3114,0.287317,99.8466,67.1147,2.24373,0.0692197,67.2492,2.24823,8559.17
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.14797,0.281501,0.262369,92.8676,64.6122,2.21469,0.0666933,64.7417,2.21913,8525.17
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,1.004,1.13867,0.302969,0.270749,98.7988,66.4331,2.20658,0.0689142,66.1684,2.19779,8194.02
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.14768,0.305753,0.266889,94.4678,65.2484,2.2705,0.0673838,65.3791,2.27505,8881.13
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.34875,0.281314,0.277438,92.7218,66.3143,2.534,0.0687794,66.3807,2.53654,10267.7
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.33073,0.303753,0.25448,99.7622,68.6765,2.69,0.0712238,68.8141,2.69539,10973.3
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.13549,0.33875,0.22913,91.8443,64.5989,2.42279,0.0669546,64.6635,2.42521,9396.24
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.29777,0.321499,0.255357,92.9037,65.9103,2.42009,0.0681937,66.0424,2.42494,9673.26
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.33221,0.364658,0.290868,99.2073,67.8361,2.32786,0.0700938,67.904,2.33019,8931.97
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.36382,0.320556,0.27947,92.8591,65.7507,2.38177,0.0679962,65.8825,2.38654,9474.2
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.22332,0.290785,0.24708,92.4276,64.5986,2.46708,0.0669986,64.6632,2.46955,10224.4
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.934365,0.212928,0.213629,92.9942,61.8579,2.25609,0.0639858,61.9819,2.26061,8863.22
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.894348,0.228612,0.183531,92.9806,62.2415,2.41688,0.0645291,62.3662,2.42172,9476.35
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.841654,0.235146,0.194294,99.9992,63.6669,2.37727,0.0659121,63.7945,2.38203,9407.88
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.815623,0.223128,0.18341,93.0582,61.876,2.36041,0.0641079,62,2.36514,9431.66
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.816161,0.226306,0.187064,93.0538,61.9731,2.39341,0.0642378,62.0973,2.39821,9386.17
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.996285,0.222075,0.202101,92.7572,63.7119,2.51329,0.0660927,63.8395,2.51832,10096.4
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.42324,0.220887,0.235581,92.9602,65.8916,2.69689,0.0684513,66.0236,2.70229,11626.1
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,2.82412,0.23753,0.456206,92.9166,72.641,2.83916,0.0754047,72.7137,2.842,13226.3
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,2.91488,0.238197,0.497948,92.2902,72.7892,2.73155,0.0754452,72.862,2.73429,12667.4
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.85586,0.212459,0.478808,92.4786,72.6207,2.70247,0.0751725,72.7662,2.70789,12512.5
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,2.22822,0.179337,0.364651,92.4601,70.0955,2.59944,0.0726222,70.1656,2.60204,11513.9
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.87058,0.244843,0.315173,91.8267,68.3552,2.51475,0.0707282,68.4921,2.51979,10856.6
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,1.008,1.63514,0.223367,0.305289,95.9493,68.9276,2.51267,0.0720118,68.3806,2.49273,10524.7
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.22245,0.333406,0.269077,96.3068,66.4885,2.36587,0.0687166,66.6217,2.37061,9476.79
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.2207,0.315521,0.257304,91.9498,65.1268,2.39734,0.0673891,65.2573,2.40215,9409.61
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.43524,0.27038,0.279098,92.6604,66.7987,2.5135,0.0691736,66.9326,2.51854,10047.3
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.4787,0.303782,0.288746,99.9399,69.2943,2.60426,0.0717547,69.4331,2.60948,10641.7
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.63578,0.287862,0.281063,92.6735,68.1532,2.65163,0.0706632,68.2898,2.65694,11670.5
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.02977,0.254803,0.361229,82.7866,62.5573,2.29814,0.0647257,62.6826,2.30274,11014.3
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.402899,0.0422342,0.114259,78.5379,57.5563,2.45216,0.0598884,57.6716,2.45708,13693.8
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.64485,0.422779,0.36586,86.8417,67.1329,2.3952,0.0693891,67.2675,2.4,9517.05
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.59896,0.271063,0.288154,81.5296,64.2049,2.43989,0.0665115,64.3336,2.44478,9967.03
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.20009,0.198832,0.216043,82.9717,63.2302,2.62522,0.0657237,63.3569,2.63048,12460.7
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.402805,0.0568153,0.140161,79.8448,57.9677,2.44768,0.0602945,58.0838,2.45258,13508.4
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.55937,0.259011,0.265911,82.8608,65.0961,2.75264,0.0677809,65.1613,2.75539,12274.1
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.66551,0.261357,0.265983,67.541,60.2779,2.40637,0.0625589,60.3987,2.41119,9687.11
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.79413,0.302224,0.28327,50.5157,54.2869,1.91083,0.0561415,54.3412,1.91275,6465.06
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.80532,0.377426,0.276627,49.1817,54.1778,1.99836,0.0560638,54.2864,2.00237,6834.75
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.67031,0.351717,0.243644,50.7252,54.5604,2.08291,0.05653,54.6698,2.08709,7606.15
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.64659,0.331849,0.227321,50.3649,53.8003,2.28659,0.0559747,53.9081,2.29117,8417.49
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.52597,0.295727,0.200465,49.3508,53.1628,2.24437,0.0552963,53.2693,2.24887,8405.05
